1 Level,2 Level,3 Level,4 Level,5 Level,6 Level,7 Level,8 Level,9 Level,10 Level,11 Level,12 Level,13 Level,14 Level,FoodON URI
,dessert food,,,,,,,,,,,,,FOODON_03303220
,,mousse food product,,,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03315574
,,,
multi-component food product,,,,,,,,,,,,,,FOODON_00002501
,multi-component plant food product,,,,,,,,,,,,,FOODON_03316579
,,plant dessert food product,,,,,,,,,,,,FOODON_00002138
,,,pudding food product,,,,,,,,,,,FOODON_00002178
,,,,kheer,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03601039
,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,mushroom food product,,,,,,,,,,,FOODON_00002434
,,,,mushroom (whole or pieces),,,,,,,,,,FOODON_00002050
,,,,,mushroom fruitbody,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003528
,,,,,,Boletus mushroom,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03000430
,,,,,,,red boletus,,,,,,,http://purl.obolibrary.org/obo/FOODON_03412737
,,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,plant fruit food product,,,,,,,,,,,FOODON_00001057
,,,,plant fruit as vegetable food product,,,,,,,,,,FOODON_00002141
,,,,,squash food product,,,,,,,,,FOODON_00002271
,,,,,,squash,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003539
,,,,,,,winter squash,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003946
,,,,,,,,acorn squash,,,,,,http://purl.obolibrary.org/obo/FOODON_00003599
,,,,,,,,,green acorn squash,,,,,http://purl.obolibrary.org/obo/FOODON_00004442
,,,,,,,,,,green acorn squash (raw),,,,http://purl.obolibrary.org/obo/FOODON_00004443
,,,,,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,plant fruit food product,,,,,,,,,,,FOODON_00001057
,,,,pomaceous fruit food product,,,,,,,,,,FOODON_00001158
,,,,,apple food product,,,,,,,,,FOODON_00001611
,,,,,,apple (whole or pieces),,,,,,,,FOODON_03310788
,,,,,,,apple,,,,,,,FOODON_00002473
,,,,,,,,apple (raw),,,,,,FOODON_03301710
,,,,,,,,,Red Delicious apple (raw),,,,,http://purl.obolibrary.org/obo/FOODON_00004201
,,,,,,,,,,
multi-component food product,,,,,,,,,,,,,,FOODON_00002501
,multi-component plant food product,,,,,,,,,,,,,FOODON_03316579
,,multi-component rice food product,,,,,,,,,,,,FOODON_00003435
,,,biryani,,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03601015
,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,animal food product,,,,,,,,,,,,,FOODON_00004242
,,invertebrate animal food product,,,,,,,,,,,,FOODON_00001176
,,,shellfish food product,,,,,,,,,,,FOODON_00001293
,,,,shellfish,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03411433
,,,,,crustacean,,,,,,,,,FOODON_03411374
,,,,,,decapod,,,,,,,,FOODON_03411998
,,,,,,,shrimp,,,,,,,FOODON_03411237
,,,,,,,,palaemonid shrimp family,,,,,,FOODON_03411163
,,,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,plant fruit food product,,,,,,,,,,,FOODON_00001057
,,,,strawberry guava food product,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00004226
,,,,,strawberry guava,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00004224
,,,,,,strawberry guava (raw),,,,,,,,http://purl.obolibrary.org/obo/FOODON_00004225
,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,plant fruit food product,,,,,,,,,,,FOODON_00001057
,,,,plant fruit as vegetable food product,,,,,,,,,,FOODON_00002141
,,,,,pepper vegetable food product,,,,,,,,,FOODON_00002111
,,,,,,hot pepper food product,,,,,,,,FOODON_00001956
,,,,,,,harissa chili paste,,,,,,,http://purl.obolibrary.org/obo/FOODON_00002484
,,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,sapodilla food product,,,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00004249
,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,animal food product,,,,,,,,,,,,,FOODON_00004242
,,invertebrate animal food product,,,,,,,,,,,,FOODON_00001176
,,,shellfish food product,,,,,,,,,,,FOODON_00001293
,,,,shellfish,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03411433
,,,,,mollusc,,,,,,,,,FOODON_03412112
,,,,,,bivalve,,,,,,,,FOODON_03412113
,,,,,,,scallop,,,,,,,http://purl.obolibrary.org/obo/FOODON_03411489
,,,,,,,,
processed food product,,,,,,,,,,,,,,FOODON_03311737
,prepared food product,,,,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00001180
,,sandwich food product,,,,,,,,,,,,FOODON_00002222
,,,sandwich,,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03301906
,,,,croque monsieur,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003269
,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,plant fruit food product,,,,,,,,,,,FOODON_00001057
,,,,cucurbit fruit food product,,,,,,,,,,FOODON_00001150
,,,,,melon food product,,,,,,,,,FOODON_00002029
,,,,,,melon fruit food product,,,,,,,,FOODON_00001152
,,,,,,,muskmelon (Cucumis melo) fruit food product,,,,,,,FOODON_00001153
,,,,,,,,melon,,,,,,http://purl.obolibrary.org/obo/FOODON_00003597
,,,,,,,,,muskmelon,,,,,http://purl.obolibrary.org/obo/FOODON_00003596
,,,,,,,,,,
multi-component food product,,,,,,,,,,,,,,FOODON_00002501
,quenelle,,,,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003245
,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,plant fruit food product,,,,,,,,,,,FOODON_00001057
,,,,berry food product,,,,,,,,,,FOODON_00001640
,,,,,bramble berry food product,,,,,,,,,FOODON_00003028
,,,,,,aggregate fruit,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003592
,,,,,,,drupelet berry,,,,,,,FOODON_00003477
,,,,,,,,blackberry,,,,,,http://purl.obolibrary.org/obo/FOODON_00003487
,,,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,plant fruit food product,,,,,,,,,,,FOODON_00001057
,,,,plant fruit as vegetable food product,,,,,,,,,,FOODON_00002141
,,,,,okra food product,,,,,,,,,FOODON_00002064
,,,,,,okra pod,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003681
,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,mushroom food product,,,,,,,,,,,FOODON_00002434
,,,,mushroom (whole or pieces),,,,,,,,,,FOODON_00002050
,,,,,mushroom fruitbody,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003528
,,,,,,milk mushroom,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03412074
,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,mushroom food product,,,,,,,,,,,FOODON_00002434
,,,,mushroom (whole or pieces),,,,,,,,,,FOODON_00002050
,,,,,mushroom fruitbody,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003528
,,,,,,cultivated mushroom,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003465
,,,,,,,brown mushroom,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003463
,,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,botanical fruit food product,,,,,,,,,,,,FOODON_00001262
,,,legume food product,,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00001264
,,,,legume,,,,,,,,,,FOODON_03310646
,,,,,pea,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03301300
,,,,,,alaska pea,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003790
,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,lotus plant food product,,,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003113
,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,plant seed or nut food product,,,,,,,,,,,,FOODON_03460177
,,,plant seed food product,,,,,,,,,,,FOODON_00001173
,,,,seed part,,,,,,,,,,FOODON_03420178
,,,,,seed skin present,,,,,,,,,FOODON_03420135
,,,,,,seed skin present germ present,,,,,,,,FOODON_03420133
,,,,,,,germinated or sprouted seed,,,,,,,http://purl.obolibrary.org/obo/FOODON_03420102
,,,,,,,,radish seed (raw sprouted),,,,,,http://purl.obolibrary.org/obo/FOODON_03000209
,,,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,cruciferous food product,,,,,,,,,,,,FOODON_00001169
,,,brassica food product,,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003341
,,,,mustard food product,,,,,,,,,,FOODON_00002053
,,,,,mustard seed food product,,,,,,,,,FOODON_00001230
,,,,,,brassica carinata meal,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00004310
,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,plant stem food product,,,,,,,,,,,,FOODON_00001175
,,,celeriac stalk,,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00004115
,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,plant fruit food product,,,,,,,,,,,FOODON_00001057
,,,,strawberry guava food product,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00004226
,,,,,strawberry guava,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00004224
,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,plant stem or spear food product,,,,,,,,,,,FOODON_00002156
,,,,celery food product,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00001704
,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,rowal food product,,,,,,,,,,,,FOODON_00004245
,,,rowal fruit,,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00004246
,,,,rowal fruit (fermented),,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00004248
,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,animal food product,,,,,,,,,,,,,FOODON_00004242
,,vertebrate animal food product,,,,,,,,,,,,FOODON_00001092
,,,dairy food product,,,,,,,,,,,FOODON_00001256
,,,,milk or milk based food product,,,,,,,,,,FOODON_00001257
,,,,,cow milk based food product,,,,,,,,,FOODON_00001771
,,,,,,cow milk cheese,,,,,,,,FOODON_00001127
,,,,,,,semisoft cheese product,,,,,,,FOODON_00002231
,,,,,,,,minas cheese,,,,,,http://purl.obolibrary.org/obo/FOODON_03601036
,,,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,vegetable (whole or pieces),,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03315308
,,,,vegetable (raw),,,,,,,,,,FOODON_03302008
,,,,,salad greens (raw),,,,,,,,,FOODON_03310789
,,,,,,mizuna leaf,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003641
,,,,,,,mustard spinach leaf,,,,,,,http://purl.obolibrary.org/obo/FOODON_00004356
,,,,,,,,mustard spinach leaf (raw),,,,,,http://purl.obolibrary.org/obo/FOODON_00004357
,,,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,animal food product,,,,,,,,,,,,,FOODON_00004242
,,invertebrate animal food product,,,,,,,,,,,,FOODON_00001176
,,,shellfish food product,,,,,,,,,,,FOODON_00001293
,,,,shellfish,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03411433
,,,,,crustacean,,,,,,,,,FOODON_03411374
,,,,,,decapod,,,,,,,,FOODON_03411998
,,,,,,,shrimp,,,,,,,FOODON_03411237
,,,,,,,,penaeid shrimp family,,,,,,http://purl.obolibrary.org/obo/FOODON_03411081
,,,,,,,,,
multi-component food product,,,,,,,,,,,,,,FOODON_00002501
,multi-component plant food product,,,,,,,,,,,,,FOODON_03316579
,,croziflette,,,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003268
,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,plant fruit food product,,,,,,,,,,,FOODON_00001057
,,,,tropical fruit food product,,,,,,,,,,FOODON_00002689
,,,,,mangosteen food product,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003110
,,,,,,
food product by consumer group,,,,,,,,,,,,,,FOODON_00002147
,dietary or therapeutic formulation food product,,,,,,,,,,,,,FOODON_00001809
,,food supplement food product,,,,,,,,,,,,FOODON_00001874
,,,dietary supplement,,,,,,,,,,,FOODON_03401298
,,,,dietary supplement botanical,,,,,,,,,,FOODON_03401306
,,,,,resveratrol supplement,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03600011
,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,animal food product,,,,,,,,,,,,,FOODON_00004242
,,vertebrate animal food product,,,,,,,,,,,,FOODON_00001092
,,,egg food product,,,,,,,,,,,FOODON_00001274
,,,,avian egg food product,,,,,,,,,,FOODON_00001105
,,,,,hen egg food product,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00001275
,,,,,,prepared hen egg product,,,,,,,,FOODON_00002175
,,,,,,,soufflé,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003244
,,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,animal food product,,,,,,,,,,,,,FOODON_00004242
,,vertebrate animal food product,,,,,,,,,,,,FOODON_00001092
,,,fish food product,,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00001248
,,,,fish product (unspecified species),,,,,,,,,,FOODON_03315173
,,,,,fish egg food product,,,,,,,,,FOODON_00001250
,,,,,,Masago,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00002902
,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,mushroom food product,,,,,,,,,,,FOODON_00002434
,,,,mushroom (whole or pieces),,,,,,,,,,FOODON_00002050
,,,,,mushroom fruitbody,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003528
,,,,,,cultivated mushroom,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003465
,,,,,,,white mushroom,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003462
,,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,plant seed or nut food product,,,,,,,,,,,,FOODON_03460177
,,,plant seed food product,,,,,,,,,,,FOODON_00001173
,,,,cereal grain food product,,,,,,,,,,FOODON_00001093
,,,,,rice food product,,,,,,,,,FOODON_00001185
,,,,,,glutinous rice food product,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03307561
,,,,,,,glutinous rice flour,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003353
,,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,botanical fruit food product,,,,,,,,,,,,FOODON_00001262
,,,nut food product,,,,,,,,,,,FOODON_00001172
,,,,nut (whole or pieces),,,,,,,,,,FOODON_03306632
,,,,,hazelnut oil,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003220
,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,plant fruit food product,,,,,,,,,,,FOODON_00001057
,,,,tropical fruit food product,,,,,,,,,,FOODON_00002689
,,,,,tropical fruit,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003567
,,,,,,natal plum,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003680
,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,plant fruit food product,,,,,,,,,,,FOODON_00001057
,,,,plant fruit as vegetable food product,,,,,,,,,,FOODON_00002141
,,,,,olive food product,,,,,,,,,FOODON_00002066
,,,,,,black olive food product,,,,,,,,FOODON_00001648
,,,,,,,black olive,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003025
,,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,plant root food product,,,,,,,,,,,,FOODON_00001147
,,,water chestnut,,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003571
,,,,
food product component,,,,,,,,,,,,,,FOODON_00001714
,gravy or sauce,,,,,,,,,,,,,FOODON_00001931
,,plant based gravy or sauce food product,,,,,,,,,,,,FOODON_00002128
,,,vegetable based gravy or sauce food product,,,,,,,,,,,FOODON_00002329
,,,,mole verde,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00002926
,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,botanical fruit food product,,,,,,,,,,,,FOODON_00001262
,,,legume food product,,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00001264
,,,,legume,,,,,,,,,,FOODON_03310646
,,,,,bean,,,,,,,,,FOODON_00002753
,,,,,,chickpea,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03306811
,,,,,,,chickpea (raw),,,,,,,http://purl.obolibrary.org/obo/FOODON_03000123
,,,,,,,,chickpea (raw mature),,,,,,http://purl.obolibrary.org/obo/FOODON_03000206
,,,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,plant fruit food product,,,,,,,,,,,FOODON_00001057
,,,,tropical fruit food product,,,,,,,,,,FOODON_00002689
,,,,,tropical fruit,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003567
,,,,,,mamey apple,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003112
,,,,,,,mamey apple (raw),,,,,,,http://purl.obolibrary.org/obo/FOODON_00004200
,,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,moreton bay chestnut food product,,,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00002045
,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,plant fruit food product,,,,,,,,,,,FOODON_00001057
,,,,plant fruit as vegetable food product,,,,,,,,,,FOODON_00002141
,,,,,squash food product,,,,,,,,,FOODON_00002271
,,,,,,squash,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003539
,,,,,,,winter squash,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003946
,,,,,,,,acorn squash,,,,,,http://purl.obolibrary.org/obo/FOODON_00003599
,,,,,,,,,green acorn squash,,,,,http://purl.obolibrary.org/obo/FOODON_00004442
,,,,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,animal food product,,,,,,,,,,,,,FOODON_00004242
,,vertebrate animal food product,,,,,,,,,,,,FOODON_00001092
,,,mammalian meat food product,,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00001006
,,,,swine food product,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00001132
,,,,,pork food product,,,,,,,,,FOODON_00002663
,,,,,,pork meat food product,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00001038
,,,,,,,pork chitterlings,,,,,,,http://purl.obolibrary.org/obo/FOODON_03302743
,,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,vegetable (whole or pieces),,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03315308
,,,,vegetable (raw),,,,,,,,,,FOODON_03302008
,,,,,salad greens (raw),,,,,,,,,FOODON_03310789
,,,,,,mizuna leaf,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003641
,,,,,,,mustard spinach leaf,,,,,,,http://purl.obolibrary.org/obo/FOODON_00004356
,,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,plant fruit food product,,,,,,,,,,,FOODON_00001057
,,,,berry food product,,,,,,,,,,FOODON_00001640
,,,,,chokecherry food product,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00004221
,,,,,,chokecherry,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00004222
,,,,,,,chokecherry (raw),,,,,,,http://purl.obolibrary.org/obo/FOODON_00004223
,,,,,,,,
multi-component food product,,,,,,,,,,,,,,FOODON_00002501
,gimbap,,,,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03601037
,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,plant stem or spear food product,,,,,,,,,,,FOODON_00002156
,,,,celery food product,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00001704
,,,,,celeriac food product,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00004114
,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,rowal food product,,,,,,,,,,,,FOODON_00004245
,,,rowal fruit,,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00004246
,,,,rowal fruit (raw),,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00004247
,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,plant leaf food product,,,,,,,,,,,FOODON_00002143
,,,,greens (raw),,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03310765
,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,animal food product,,,,,,,,,,,,,FOODON_00004242
,,invertebrate animal food product,,,,,,,,,,,,FOODON_00001176
,,,shellfish food product,,,,,,,,,,,FOODON_00001293
,,,,mollusc food product,,,,,,,,,,FOODON_00002044
,,,,,mussel food product,,,,,,,,,FOODON_00002051
,,,,,,mussel,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03411223
,,,,,,,pearly freshwater mussel,,,,,,,http://purl.obolibrary.org/obo/FOODON_03414803
,,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,plant stem or spear food product,,,,,,,,,,,FOODON_00002156
,,,,celery food product,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00001704
,,,,,leaf celery food product,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00001705
,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,vegetable food product,,,,,,,,,,,,FOODON_00001261
,,,plant fruit food product,,,,,,,,,,,FOODON_00001057
,,,,tropical fruit food product,,,,,,,,,,FOODON_00002689
,,,,,tropical fruit,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003567
,,,,,,breadfruit,,,,,,,,http://purl.obolibrary.org/obo/FOODON_00003628
,,,,,,,breadfruit (raw),,,,,,,http://purl.obolibrary.org/obo/FOODON_03305285
,,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,animal food product,,,,,,,,,,,,,FOODON_00004242
,,vertebrate animal food product,,,,,,,,,,,,FOODON_00001092
,,,dairy food product,,,,,,,,,,,FOODON_00001256
,,,,cheese food product,,,,,,,,,,FOODON_00001013
,,,,,ovine cheese food product,,,,,,,,,FOODON_00001125
,,,,,,sheep milk cheese food product,,,,,,,,FOODON_00001130
,,,,,,,manchego cheese,,,,,,,http://purl.obolibrary.org/obo/FOODON_03310850
,,,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,plant food product,,,,,,,,,,,,,FOODON_00001015
,,butterbur (Petasites japonicus) food product,,,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03000012
,,,butterbur stem,,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03317621
,,,,
food product by consumer group,,,,,,,,,,,,,,FOODON_00002147
,dietary or therapeutic formulation food product,,,,,,,,,,,,,FOODON_00001809
,,food supplement food product,,,,,,,,,,,,FOODON_00001874
,,,dietary supplement,,,,,,,,,,,FOODON_03401298
,,,,dietary supplement botanical,,,,,,,,,,FOODON_03401306
,,,,,red yeast rice supplement,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03600010
,,,,,,
food product by organism,,,,,,,,,,,,,,FOODON_00002381
,animal food product,,,,,,,,,,,,,FOODON_00004242
,,invertebrate animal food product,,,,,,,,,,,,FOODON_00001176
,,,shellfish food product,,,,,,,,,,,FOODON_00001293
,,,,shellfish,,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03411433
,,,,,crustacean,,,,,,,,,FOODON_03411374
,,,,,,decapod,,,,,,,,FOODON_03411998
,,,,,,,krill,,,,,,,http://purl.obolibrary.org/obo/FOODON_03412844
,,,,,,,,
multi-component food product,,,,,,,,,,,,,,FOODON_00002501
,multi-component plant food product,,,,,,,,,,,,,FOODON_03316579
,,multi-component wheat food product,,,,,,,,,,,,FOODON_00003395
,,,bread food product,,,,,,,,,,,FOODON_00001183
,,,,wheat bread food product,,,,,,,,,,FOODON_00002351
,,,,,zwieback,,,,,,,,,http://purl.obolibrary.org/obo/FOODON_03302549
,,,,,,
multi-component food product,,,,,,,,,,,,,,FOODON_00002501
